"Artist","Genres"
"LedZeppelin","album rock"
"LedZeppelin","classic rock"
"LedZeppelin","hard rock"
"LedZeppelin","rock"
"Moby","downtempo"
"Moby","electronica"
"ATribeCalledQuest","alternative hip hop"
"ATribeCalledQuest","conscious hip hop"
"ATribeCalledQuest","east coast hip hop"
"ATribeCalledQuest","gangster rap"
"ATribeCalledQuest","golden age hip hop"
"ATribeCalledQuest","hardcore hip hop"
"ATribeCalledQuest","hip hop"
"ATribeCalledQuest","jazz rap"
"ATribeCalledQuest","queens hip hop"
"ATribeCalledQuest","rap"
"KAYTRANADA","escape room"
"KAYTRANADA","indie soul"
"KAYTRANADA","lgbtq+ hip hop"
"Benislav&Denkov","hard bass"
"MHD","francoton"
"MHD","french hip hop"
"MHD","pop urbaine"
"Hardwell","big room"
"Hardwell","dance pop"
"Hardwell","dutch house"
"Hardwell","edm"
"Hardwell","electro house"
"Hardwell","pop dance"
"Hardwell","progressive electro house"
"Hardwell","progressive house"
"Hardwell","tropical house"
"NGHTMRE","bass trap"
"NGHTMRE","brostep"
"NGHTMRE","edm"
"NGHTMRE","electro house"
"NGHTMRE","electronic trap"
"NGHTMRE","pop dance"
"NGHTMRE","vapor twitch"
"MoshTekk","doomcore"
"MoshTekk","tekk"
"EasyLife","leicester indie"
"EasyLife","modern indie pop"
"BlackCaviar","electro house"
"BlackCaviar","house"
"FallOutBoy","emo"
"FallOutBoy","modern rock"
"FallOutBoy","pop punk"
"DireStraits","album rock"
"DireStraits","classic rock"
"DireStraits","mellow gold"
"DireStraits","rock"
"DireStraits","soft rock"
"BeyondtheSeasons","Unknown"
"FleetwoodMac","album rock"
"FleetwoodMac","classic rock"
"FleetwoodMac","mellow gold"
"FleetwoodMac","rock"
"FleetwoodMac","soft rock"
"FleetwoodMac","yacht rock"
"CarmenMcRae","adult standards"
"CarmenMcRae","torch song"
"CarmenMcRae","vocal jazz"
"Drezo","bass house"
"Drezo","dark clubbing"
"Drezo","electro house"
"SofiaReyes","dance pop"
"SofiaReyes","latin"
"SofiaReyes","latin pop"
"SofiaReyes","mexican pop"
"SofiaReyes","pop"
"MahalaRaiBanda","balkan beats"
"MahalaRaiBanda","balkan brass"
"MahalaRaiBanda","gypsy fusion"
"SystemOfADown","alternative metal"
"SystemOfADown","nu metal"
"SystemOfADown","rap metal"
"Rasster","Unknown"
"Pantera","alternative metal"
"Pantera","groove metal"
"Pantera","hard rock"
"Pantera","metal"
"Pantera","nu metal"
"Pantera","old school thrash"
"Pantera","rock"
"Pantera","texas metal"
"Pantera","wrestling"
"Emancipator","downtempo"
"Emancipator","electronica"
"Emancipator","livetronica"
"Emancipator","nu jazz"
"Emancipator","trip hop"
"JaimeR.Echavarría","Unknown"
"Pep&Rash","latin talent show"
"Pep&Rash","mariachi"
"Pep&Rash","ranchera"
"Sol","meditation"
"MoeShop","future funk"
"MoeShop","kawaii future bass"
"2Pac","g funk"
"2Pac","gangster rap"
"2Pac","hip hop"
"2Pac","rap"
"2Pac","west coast rap"
"KeolaBeamer","hawaiian"
"KeolaBeamer","slack-key guitar"
"PharoaheMonch","alternative hip hop"
"PharoaheMonch","conscious hip hop"
"PharoaheMonch","east coast hip hop"
"PharoaheMonch","hardcore hip hop"
"PharoaheMonch","hip hop"
"PharoaheMonch","queens hip hop"
"PharoaheMonch","turntablism"
"GopnikMcBlyat","hard bass"
"Pháo","alternative hip hop"
"Pháo","conscious hip hop"
"Pháo","east coast hip hop"
"Pháo","hardcore hip hop"
"Pháo","hip hop"
"Pháo","queens hip hop"
"Pháo","turntablism"
"WillieNelson","classic country pop"
"WillieNelson","country"
"WillieNelson","country rock"
"WillieNelson","nashville sound"
"WillieNelson","outlaw country"
"WillieNelson","singer-songwriter"
"WillieNelson","texas country"
"Noizu","bass house"
"Noizu","deep groove house"
"Noizu","edm"
"Noizu","electro house"
"Noizu","house"
"OpaTsupa","gypsy jazz"
"DaTweekaz","classic hardstyle"
"DaTweekaz","euphoric hardstyle"
"DaTweekaz","rawstyle"
"Thundercat","afrofuturism"
"Thundercat","hip hop"
"Thundercat","indie soul"
"BillyKenny","bass house"
"BillyKenny","house"
"TheAvalanches","alternative dance"
"TheAvalanches","australian alternative rock"
"TheAvalanches","australian dance"
"TheAvalanches","collage pop"
"TheAvalanches","electronica"
"TheAvalanches","new rave"
"TheAvalanches","psychedelic hip hop"
"MethodMan","east coast hip hop"
"MethodMan","gangster rap"
"MethodMan","hardcore hip hop"
"MethodMan","hip hop"
"MethodMan","rap"
"MethodMan","southern hip hop"
"ChuggaBoom","post-screamo"
"The1975","modern alternative rock"
"The1975","modern rock"
"The1975","nu gaze"
"The1975","pop"
"The1975","rock"
"TheLumineers","folk-pop"
