"artistName","album","trackName","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","genres"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"adult standards"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"easy listening"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"lounge"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"soul"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"swing"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"torch song"
"JulieLondon","Liquid Spirit","Fly Me To The Moon (In Other Words)","5b7OgznPJJr1vHNYGyvxau",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,147000,4,"vocal jazz"
"JulyTalk","July Talk","I've Rationed Well","3raxW5DaTb6ZZRRhcK6kXf",0.554,0.436,7,-10.998,1,0.0306,0.848,0.191,0.124,0.07,106.27,136707,3,"canadian indie"
"JulyTalk","July Talk","I've Rationed Well","3raxW5DaTb6ZZRRhcK6kXf",0.554,0.436,7,-10.998,1,0.0306,0.848,0.191,0.124,0.07,106.27,136707,3,"toronto indie"
"JulyTalk","July Talk","Summer Dress","6F8490TxgfvhOcjga3PfCO",0.611,0.644,11,-5.07,0,0.0661,0.0047,0.000358,0.468,0.631,131.931,178600,4,"canadian indie"
"JulyTalk","July Talk","Summer Dress","6F8490TxgfvhOcjga3PfCO",0.611,0.644,11,-5.07,0,0.0661,0.0047,0.000358,0.468,0.631,131.931,178600,4,"toronto indie"
"JustAGent","Stories to Tell","Rolling Dice","4SNlufpg8PmrMmeS2luHcK",0.588,0.72,2,-6.894,1,0.0831,0.0748,6.12e-05,0.0917,0.0776,117.935,287808,4,"aussietronica"
"JustAGent","Stories to Tell","Rolling Dice","4SNlufpg8PmrMmeS2luHcK",0.588,0.72,2,-6.894,1,0.0831,0.0748,6.12e-05,0.0917,0.0776,117.935,287808,4,"bass trap"
"JustAGent","Stories to Tell","Rolling Dice","4SNlufpg8PmrMmeS2luHcK",0.588,0.72,2,-6.894,1,0.0831,0.0748,6.12e-05,0.0917,0.0776,117.935,287808,4,"edm"
